,embedding,DR,layout-quality-measure,embedding-quality-measure,value
197,nmf-tfidf,mds,per,u-mass,0.14
198,nmf-tfidf,mds,accloc,c-uci,0.38
199,nmf-tfidf,mds,accglo,c-uci,0.08
200,nmf-tfidf,mds,per,c-uci,-0.02
201,nmf-tfidf,mds,accloc,c-npmi,0.44
202,nmf-tfidf,mds,accglo,c-npmi,-0.02
203,nmf-tfidf,mds,per,c-npmi,-0.24
204,nmf-tfidf,som,accloc,c-v,0.23
205,nmf-tfidf,som,accglo,c-v,-0.05
206,nmf-tfidf,som,per,c-v,0.04
207,nmf-tfidf,som,accloc,u-mass,-0.07
208,nmf-tfidf,som,accglo,u-mass,0.15
209,nmf-tfidf,som,per,u-mass,-0.32
210,nmf-tfidf,som,accloc,c-uci,-0.02
211,nmf-tfidf,som,accglo,c-uci,0.14
212,nmf-tfidf,som,per,c-uci,-0.42
213,nmf-tfidf,som,accloc,c-npmi,0.07
214,nmf-tfidf,som,accglo,c-npmi,0.18
215,nmf-tfidf,som,per,c-npmi,-0.53
216,nmf-tfidf,tsne,accloc,c-v,0.38
217,nmf-tfidf,tsne,accglo,c-v,-0.13
218,nmf-tfidf,tsne,per,c-v,0.03
219,nmf-tfidf,tsne,accloc,u-mass,0.04
220,nmf-tfidf,tsne,accglo,u-mass,0.2
221,nmf-tfidf,tsne,per,u-mass,-0.35
222,nmf-tfidf,tsne,accloc,c-uci,0.07
223,nmf-tfidf,tsne,accglo,c-uci,0.15
224,nmf-tfidf,tsne,per,c-uci,-0.47
225,nmf-tfidf,tsne,accloc,c-npmi,0.21
226,nmf-tfidf,tsne,accglo,c-npmi,0.11
227,nmf-tfidf,tsne,per,c-npmi,-0.59
228,nmf-tfidf,umap,accloc,c-v,0.16
229,nmf-tfidf,umap,accglo,c-v,-0.08
230,nmf-tfidf,umap,per,c-v,0.03
231,nmf-tfidf,umap,accloc,u-mass,-0.06
232,nmf-tfidf,umap,accglo,u-mass,0.22
233,nmf-tfidf,umap,per,u-mass,-0.31
234,nmf-tfidf,umap,accloc,c-uci,-0.02
235,nmf-tfidf,umap,accglo,c-uci,0.2
236,nmf-tfidf,umap,per,c-uci,-0.42
237,nmf-tfidf,umap,accloc,c-npmi,0.07
238,nmf-tfidf,umap,accglo,c-npmi,0.21
239,nmf-tfidf,umap,per,c-npmi,-0.54
240,bert,mds,accloc,performance-sentence-embeddings,0.19
241,bert,mds,accglo,performance-sentence-embeddings,-0.47
242,bert,mds,per,performance-sentence-embeddings,0.03
243,bert,mds,accloc,performance-semantic-search,0.18
244,bert,mds,accglo,performance-semantic-search,-0.47
245,bert,mds,per,performance-semantic-search,0.01
246,bert,som,accloc,performance-sentence-embeddings,0.18
247,bert,som,accglo,performance-sentence-embeddings,0.27
248,bert,som,per,performance-sentence-embeddings,0.08
249,bert,som,accloc,performance-semantic-search,0.18
250,bert,som,accglo,performance-semantic-search,0.27
251,bert,som,per,performance-semantic-search,0.08
252,bert,tsne,accloc,performance-sentence-embeddings,0.26
253,bert,tsne,accglo,performance-sentence-embeddings,0.31
254,bert,tsne,per,performance-sentence-embeddings,0.09
255,bert,tsne,accloc,performance-semantic-search,0.27
256,bert,tsne,accglo,performance-semantic-search,0.33
257,bert,tsne,per,performance-semantic-search,0.09
258,bert,umap,accloc,performance-sentence-embeddings,0.22
259,bert,umap,accglo,performance-sentence-embeddings,0.3
260,bert,umap,per,performance-sentence-embeddings,0.13
261,bert,umap,accloc,performance-semantic-search,0.21
262,bert,umap,accglo,performance-semantic-search,0.31
263,bert,umap,per,performance-semantic-search,0.13
