,corpus,embedding,DR,layout-quality-measure,value
156,Emails,bow,mds,accloc,0
157,Emails,bow,mds,accglo,0
158,Emails,bow,mds,perception,0
159,Emails,bow,som,accloc,0
160,Emails,bow,som,accglo,0
161,Emails,bow,som,perception,0
162,Emails,bow,tsne,accloc,0
163,Emails,bow,tsne,accglo,0
164,Emails,bow,tsne,perception,0
165,Emails,bow,umap,accloc,0
166,Emails,bow,umap,accglo,0
167,Emails,bow,umap,perception,0
168,Emails,tfidf,mds,accloc,0.51
169,Emails,tfidf,mds,accglo,0.28
170,Emails,tfidf,mds,perception,0.31
171,Emails,tfidf,som,accloc,0.89
172,Emails,tfidf,som,accglo,0.51
173,Emails,tfidf,som,perception,0.52
174,Emails,tfidf,tsne,accloc,0.95
175,Emails,tfidf,tsne,accglo,0.58
176,Emails,tfidf,tsne,perception,0.6
177,Emails,tfidf,umap,accloc,0.92
178,Emails,tfidf,umap,accglo,0.56
179,Emails,tfidf,umap,perception,0.6
180,Emails,lda,mds,accloc,0.55
181,Emails,lda,mds,accglo,0.37
182,Emails,lda,mds,perception,0.36
183,Emails,lda,som,accloc,0.99
184,Emails,lda,som,accglo,0.76
185,Emails,lda,som,perception,0.44
186,Emails,lda,tsne,accloc,0.99
187,Emails,lda,tsne,accglo,0.77
188,Emails,lda,tsne,perception,0.52
189,Emails,lda,umap,accloc,0.99
190,Emails,lda,umap,accglo,0.81
191,Emails,lda,umap,perception,0.5
192,Emails,lda-SC,mds,accloc,0.55
193,Emails,lda-SC,mds,accglo,0.35
194,Emails,lda-SC,mds,perception,0.37
195,Emails,lda-SC,som,accloc,0.99
196,Emails,lda-SC,som,accglo,0.83
197,Emails,lda-SC,som,perception,0.46
198,Emails,lda-SC,tsne,accloc,0.99
199,Emails,lda-SC,tsne,accglo,0.81
200,Emails,lda-SC,tsne,perception,0.49
201,Emails,lda-SC,umap,accloc,0.99
202,Emails,lda-SC,umap,accglo,0.85
203,Emails,lda-SC,umap,perception,0.51
204,Emails,lsi,mds,accloc,0.55
205,Emails,lsi,mds,accglo,0.36
206,Emails,lsi,mds,perception,0.32
207,Emails,lsi,som,accloc,0.86
208,Emails,lsi,som,accglo,0.67
209,Emails,lsi,som,perception,0.42
210,Emails,lsi,tsne,accloc,0.98
211,Emails,lsi,tsne,accglo,0.84
212,Emails,lsi,tsne,perception,0.49
213,Emails,lsi,umap,accloc,0.82
214,Emails,lsi,umap,accglo,0.69
215,Emails,lsi,umap,perception,0.45
216,Emails,lsi-SC,mds,accloc,0.55
217,Emails,lsi-SC,mds,accglo,0.36
218,Emails,lsi-SC,mds,perception,0.32
219,Emails,lsi-SC,som,accloc,0.86
220,Emails,lsi-SC,som,accglo,0.66
221,Emails,lsi-SC,som,perception,0.42
222,Emails,lsi-SC,tsne,accloc,0.98
223,Emails,lsi-SC,tsne,accglo,0.84
224,Emails,lsi-SC,tsne,perception,0.49
225,Emails,lsi-SC,umap,accloc,0.82
226,Emails,lsi-SC,umap,accglo,0.69
227,Emails,lsi-SC,umap,perception,0.46
228,Emails,lsi-tfidf,mds,accloc,0.56
229,Emails,lsi-tfidf,mds,accglo,0.36
230,Emails,lsi-tfidf,mds,perception,0.32
231,Emails,lsi-tfidf,som,accloc,0.94
232,Emails,lsi-tfidf,som,accglo,0.8
233,Emails,lsi-tfidf,som,perception,0.55
234,Emails,lsi-tfidf,tsne,accloc,0.99
235,Emails,lsi-tfidf,tsne,accglo,0.87
236,Emails,lsi-tfidf,tsne,perception,0.59
237,Emails,lsi-tfidf,umap,accloc,0.94
238,Emails,lsi-tfidf,umap,accglo,0.86
239,Emails,lsi-tfidf,umap,perception,0.58
240,Emails,lsi-tfidf-SC,mds,accloc,0.56
241,Emails,lsi-tfidf-SC,mds,accglo,0.36
242,Emails,lsi-tfidf-SC,mds,perception,0.32
243,Emails,lsi-tfidf-SC,som,accloc,0.94
244,Emails,lsi-tfidf-SC,som,accglo,0.79
245,Emails,lsi-tfidf-SC,som,perception,0.55
246,Emails,lsi-tfidf-SC,tsne,accloc,0.99
247,Emails,lsi-tfidf-SC,tsne,accglo,0.87
248,Emails,lsi-tfidf-SC,tsne,perception,0.59
249,Emails,lsi-tfidf-SC,umap,accloc,0.94
250,Emails,lsi-tfidf-SC,umap,accglo,0.86
251,Emails,lsi-tfidf-SC,umap,perception,0.58
252,Emails,nmf,mds,accloc,0.57
253,Emails,nmf,mds,accglo,0.36
254,Emails,nmf,mds,perception,0.33
255,Emails,nmf,som,accloc,0.97
256,Emails,nmf,som,accglo,0.84
257,Emails,nmf,som,perception,0.47
258,Emails,nmf,tsne,accloc,0.99
259,Emails,nmf,tsne,accglo,0.85
260,Emails,nmf,tsne,perception,0.53
261,Emails,nmf,umap,accloc,0.98
262,Emails,nmf,umap,accglo,0.84
263,Emails,nmf,umap,perception,0.53
264,Emails,nmf-SC,mds,accloc,0.56
265,Emails,nmf-SC,mds,accglo,0.37
266,Emails,nmf-SC,mds,perception,0.36
267,Emails,nmf-SC,som,accloc,0.97
268,Emails,nmf-SC,som,accglo,0.85
269,Emails,nmf-SC,som,perception,0.46
270,Emails,nmf-SC,tsne,accloc,0.99
271,Emails,nmf-SC,tsne,accglo,0.87
272,Emails,nmf-SC,tsne,perception,0.53
273,Emails,nmf-SC,umap,accloc,0.98
274,Emails,nmf-SC,umap,accglo,0.87
275,Emails,nmf-SC,umap,perception,0.51
276,Emails,nmf-tfidf,mds,accloc,0.55
277,Emails,nmf-tfidf,mds,accglo,0.36
278,Emails,nmf-tfidf,mds,perception,0.35
279,Emails,nmf-tfidf,som,accloc,0.97
280,Emails,nmf-tfidf,som,accglo,0.78
281,Emails,nmf-tfidf,som,perception,0.45
282,Emails,nmf-tfidf,tsne,accloc,0.99
283,Emails,nmf-tfidf,tsne,accglo,0.82
284,Emails,nmf-tfidf,tsne,perception,0.48
285,Emails,nmf-tfidf,umap,accloc,0.98
286,Emails,nmf-tfidf,umap,accglo,0.86
287,Emails,nmf-tfidf,umap,perception,0.48
288,Emails,nmf-tfidf-SC,mds,accloc,0.55
289,Emails,nmf-tfidf-SC,mds,accglo,0.36
290,Emails,nmf-tfidf-SC,mds,perception,0.35
291,Emails,nmf-tfidf-SC,som,accloc,0.98
292,Emails,nmf-tfidf-SC,som,accglo,0.82
293,Emails,nmf-tfidf-SC,som,perception,0.43
294,Emails,nmf-tfidf-SC,tsne,accloc,0.99
295,Emails,nmf-tfidf-SC,tsne,accglo,0.86
296,Emails,nmf-tfidf-SC,tsne,perception,0.49
297,Emails,nmf-tfidf-SC,umap,accloc,0.98
298,Emails,nmf-tfidf-SC,umap,accglo,0.91
299,Emails,nmf-tfidf-SC,umap,perception,0.48
300,Emails,bert,mds,accloc,0.53
301,Emails,bert,mds,accglo,0.35
302,Emails,bert,mds,perception,0.35
303,Emails,bert,som,accloc,0.95
304,Emails,bert,som,accglo,0.72
305,Emails,bert,som,perception,0.58
306,Emails,bert,tsne,accloc,0.97
307,Emails,bert,tsne,accglo,0.75
308,Emails,bert,tsne,perception,0.6
309,Emails,bert,umap,accloc,0.95
310,Emails,bert,umap,accglo,0.76
311,Emails,bert,umap,perception,0.6
312,7Categories,bow,mds,accloc,0
313,7Categories,bow,mds,accglo,0
314,7Categories,bow,mds,perception,0
315,7Categories,bow,som,accloc,0.93
316,7Categories,bow,som,accglo,0.64
317,7Categories,bow,som,perception,0.61
318,7Categories,bow,tsne,accloc,0.99
319,7Categories,bow,tsne,accglo,0.71
320,7Categories,bow,tsne,perception,0.68
321,7Categories,bow,umap,accloc,0.93
322,7Categories,bow,umap,accglo,0.69
323,7Categories,bow,umap,perception,0.63
324,7Categories,tfidf,mds,accloc,0
325,7Categories,tfidf,mds,accglo,0
326,7Categories,tfidf,mds,perception,0
327,7Categories,tfidf,som,accloc,0.96
328,7Categories,tfidf,som,accglo,0.64
329,7Categories,tfidf,som,perception,0.65
330,7Categories,tfidf,tsne,accloc,0.99
331,7Categories,tfidf,tsne,accglo,0.71
332,7Categories,tfidf,tsne,perception,0.67
333,7Categories,tfidf,umap,accloc,0.98
334,7Categories,tfidf,umap,accglo,0.7
335,7Categories,tfidf,umap,perception,0.71
336,7Categories,lda,mds,accloc,0
337,7Categories,lda,mds,accglo,0
338,7Categories,lda,mds,perception,0
339,7Categories,lda,som,accloc,0.98
340,7Categories,lda,som,accglo,0.75
341,7Categories,lda,som,perception,0.52
342,7Categories,lda,tsne,accloc,0.99
343,7Categories,lda,tsne,accglo,0.77
344,7Categories,lda,tsne,perception,0.59
345,7Categories,lda,umap,accloc,0.98
346,7Categories,lda,umap,accglo,0.78
347,7Categories,lda,umap,perception,0.57
348,7Categories,lda-SC,mds,accloc,0
349,7Categories,lda-SC,mds,accglo,0
350,7Categories,lda-SC,mds,perception,0
351,7Categories,lda-SC,som,accloc,0.98
352,7Categories,lda-SC,som,accglo,0.86
353,7Categories,lda-SC,som,perception,0.55
354,7Categories,lda-SC,tsne,accloc,0.99
355,7Categories,lda-SC,tsne,accglo,0.9
356,7Categories,lda-SC,tsne,perception,0.59
357,7Categories,lda-SC,umap,accloc,0.99
358,7Categories,lda-SC,umap,accglo,0.94
359,7Categories,lda-SC,umap,perception,0.58
360,7Categories,lsi,mds,accloc,0
361,7Categories,lsi,mds,accglo,0
362,7Categories,lsi,mds,perception,0
363,7Categories,lsi,som,accloc,0.96
364,7Categories,lsi,som,accglo,0.76
365,7Categories,lsi,som,perception,0.63
366,7Categories,lsi,tsne,accloc,0.99
367,7Categories,lsi,tsne,accglo,0.82
368,7Categories,lsi,tsne,perception,0.69
369,7Categories,lsi,umap,accloc,0.96
370,7Categories,lsi,umap,accglo,0.82
371,7Categories,lsi,umap,perception,0.69
372,7Categories,lsi-SC,mds,accloc,0
373,7Categories,lsi-SC,mds,accglo,0
374,7Categories,lsi-SC,mds,perception,0
375,7Categories,lsi-SC,som,accloc,0.96
376,7Categories,lsi-SC,som,accglo,0.77
377,7Categories,lsi-SC,som,perception,0.63
378,7Categories,lsi-SC,tsne,accloc,0.99
379,7Categories,lsi-SC,tsne,accglo,0.82
380,7Categories,lsi-SC,tsne,perception,0.69
381,7Categories,lsi-SC,umap,accloc,0.96
382,7Categories,lsi-SC,umap,accglo,0.83
