,embedding,DR,layout_quality_measure,embedding_quality_measure,value
173,nmf,tsne,per,u_mass,0.06
174,nmf,tsne,acc_loc,c_uci,0.2
175,nmf,tsne,acc_glo,c_uci,0.05
176,nmf,tsne,per,c_uci,-0.43
177,nmf,tsne,acc_loc,c_npmi,0.02
178,nmf,tsne,acc_glo,c_npmi,0.05
179,nmf,tsne,per,c_npmi,-0.35
180,nmf,umap,acc_loc,c_v,-0.05
181,nmf,umap,acc_glo,c_v,-0.06
182,nmf,umap,per,c_v,-0.27
183,nmf,umap,acc_loc,u_mass,0.13
184,nmf,umap,acc_glo,u_mass,0.15
185,nmf,umap,per,u_mass,0.12
186,nmf,umap,acc_loc,c_uci,0.04
187,nmf,umap,acc_glo,c_uci,0.03
188,nmf,umap,per,c_uci,-0.4
189,nmf,umap,acc_loc,c_npmi,-0.05
190,nmf,umap,acc_glo,c_npmi,-0.01
191,nmf,umap,per,c_npmi,-0.39
192,nmf_tfidf,mds,acc_loc,c_v,0.12
193,nmf_tfidf,mds,acc_glo,c_v,-0.01
194,nmf_tfidf,mds,per,c_v,0.01
195,nmf_tfidf,mds,acc_loc,u_mass,0.45
196,nmf_tfidf,mds,acc_glo,u_mass,0.25
197,nmf_tfidf,mds,per,u_mass,0.19
198,nmf_tfidf,mds,acc_loc,c_uci,0.51
199,nmf_tfidf,mds,acc_glo,c_uci,0.26
200,nmf_tfidf,mds,per,c_uci,0.05
201,nmf_tfidf,mds,acc_loc,c_npmi,0.51
202,nmf_tfidf,mds,acc_glo,c_npmi,0.14
203,nmf_tfidf,mds,per,c_npmi,-0.15
204,nmf_tfidf,som,acc_loc,c_v,0.2
205,nmf_tfidf,som,acc_glo,c_v,0.01
206,nmf_tfidf,som,per,c_v,-0.07
207,nmf_tfidf,som,acc_loc,u_mass,0.11
208,nmf_tfidf,som,acc_glo,u_mass,0.28
209,nmf_tfidf,som,per,u_mass,-0.3
210,nmf_tfidf,som,acc_loc,c_uci,0.13
211,nmf_tfidf,som,acc_glo,c_uci,0.26
212,nmf_tfidf,som,per,c_uci,-0.44
213,nmf_tfidf,som,acc_loc,c_npmi,0.18
214,nmf_tfidf,som,acc_glo,c_npmi,0.27
215,nmf_tfidf,som,per,c_npmi,-0.55
216,nmf_tfidf,tsne,acc_loc,c_v,0.38
217,nmf_tfidf,tsne,acc_glo,c_v,-0.05
218,nmf_tfidf,tsne,per,c_v,-0.12
219,nmf_tfidf,tsne,acc_loc,u_mass,0.23
220,nmf_tfidf,tsne,acc_glo,u_mass,0.2
221,nmf_tfidf,tsne,per,u_mass,-0.39
222,nmf_tfidf,tsne,acc_loc,c_uci,0.26
223,nmf_tfidf,tsne,acc_glo,c_uci,0.12
224,nmf_tfidf,tsne,per,c_uci,-0.55
225,nmf_tfidf,tsne,acc_loc,c_npmi,0.37
226,nmf_tfidf,tsne,acc_glo,c_npmi,0.11
227,nmf_tfidf,tsne,per,c_npmi,-0.67
228,nmf_tfidf,umap,acc_loc,c_v,0.13
229,nmf_tfidf,umap,acc_glo,c_v,-0.0
230,nmf_tfidf,umap,per,c_v,-0.09
231,nmf_tfidf,umap,acc_loc,u_mass,0.03
232,nmf_tfidf,umap,acc_glo,u_mass,0.18
233,nmf_tfidf,umap,per,u_mass,-0.32
234,nmf_tfidf,umap,acc_loc,c_uci,0.06
235,nmf_tfidf,umap,acc_glo,c_uci,0.15
236,nmf_tfidf,umap,per,c_uci,-0.46
237,nmf_tfidf,umap,acc_loc,c_npmi,0.13
238,nmf_tfidf,umap,acc_glo,c_npmi,0.18
239,nmf_tfidf,umap,per,c_npmi,-0.58
240,bert,mds,acc_loc,performance_sentence_embeddings,0.19
241,bert,mds,acc_glo,performance_sentence_embeddings,-0.47
242,bert,mds,per,performance_sentence_embeddings,0.03
243,bert,mds,acc_loc,performance_semantic_search,0.18
244,bert,mds,acc_glo,performance_semantic_search,-0.47
245,bert,mds,per,performance_semantic_search,0.01
246,bert,som,acc_loc,performance_sentence_embeddings,0.18
247,bert,som,acc_glo,performance_sentence_embeddings,0.27
248,bert,som,per,performance_sentence_embeddings,0.08
249,bert,som,acc_loc,performance_semantic_search,0.18
250,bert,som,acc_glo,performance_semantic_search,0.27
251,bert,som,per,performance_semantic_search,0.08
252,bert,tsne,acc_loc,performance_sentence_embeddings,0.26
253,bert,tsne,acc_glo,performance_sentence_embeddings,0.31
254,bert,tsne,per,performance_sentence_embeddings,0.09
255,bert,tsne,acc_loc,performance_semantic_search,0.27
256,bert,tsne,acc_glo,performance_semantic_search,0.33
257,bert,tsne,per,performance_semantic_search,0.09
258,bert,umap,acc_loc,performance_sentence_embeddings,0.22
259,bert,umap,acc_glo,performance_sentence_embeddings,0.3
260,bert,umap,per,performance_sentence_embeddings,0.13
261,bert,umap,acc_loc,performance_semantic_search,0.21
262,bert,umap,acc_glo,performance_semantic_search,0.31
263,bert,umap,per,performance_semantic_search,0.13
