,embedding,DR,layout_quality_measure,embedding_quality_measure,value
162,bert,mds,acc,performance_semantic_search,-0.329901814034742
163,bert,mds,per,performance_semantic_search,0.008416845260528617
164,bert,som,acc,performance_sentence_embeddings,0.22637230482619525
165,bert,som,per,performance_sentence_embeddings,0.0791305579591725
166,bert,som,acc,performance_semantic_search,0.22438001644932354
167,bert,som,per,performance_semantic_search,0.07510707137621256
168,bert,tsne,acc,performance_sentence_embeddings,0.30990948920338
169,bert,tsne,per,performance_sentence_embeddings,0.08918900585753967
170,bert,tsne,acc,performance_semantic_search,0.3266379783050383
171,bert,tsne,per,performance_semantic_search,0.08839802243060332
172,bert,umap,acc,performance_sentence_embeddings,0.25686555954657886
173,bert,umap,per,performance_sentence_embeddings,0.131898396208684
174,bert,umap,acc,performance_semantic_search,0.2684814864059331
175,bert,umap,per,performance_semantic_search,0.12998888086810967
